,Product Name,Company,Original_Price,discound_Price,discound
681,"Solid Men Polo Neck Light Blue, Green T-Shirt",Alan Jones,804,"1,998",59% 
682,Printed Men Round Neck Grey T-Shirt,HELMONT,136,999,86% 
683,Printed Men Round Neck Black T-Shirt,MANIAC,234,939,75% 
684,Graphic Print Men Round Neck Multicolor T-Shirt,Canis,188,499,62% 
685,"Color Block Men Round Neck Green, Black T-Shirt",MANIAC,272,959,71% 
686,Solid Men Hooded Neck Yellow T-Shirt,HELMONT,169,999,83% 
687,Printed Men Round Neck Dark Blue T-Shirt,MANIAC,205,999,79% 
688,Solid Men Round Neck Black T-Shirt,Damensch,699,899,22% 
689,"Solid Men s Red, Black T-Shirt",MANIAC,219,949,76% 
690,"Printed Men Round Neck Dark Blue, White, Yellow T-Shirt",MANIAC,642,"1,749",63% 
691,Graphic Print Men Round or Crew Multicolor T-Shirt,Canis,188,499,62% 
692,Printed Men Round Neck Dark Blue T-Shirt,TRIPR,151,"1,399",89% 
693,"Color Block Men Round Neck Black, White T-Shirt",BLIVE,219,"1,999",89% 
694,"Striped Men Round Neck Dark Blue, Red, Black T-Shirt",MANIAC,255,"1,269",79% 
695,Printed Men Hooded Neck Green T-Shirt,London Hills,311,"1,299",76% 
696,Color Block Men Round Neck Light Blue T-Shirt,Diwazzo,233,999,76% 
697,"Color Block Men Hooded Neck Blue, Grey T-Shirt",HYDEY,202,999,79% 
698,"Printed Men Round Neck Black, White T-Shirt",Canis,166,399,58% 
699,"Printed Men Hooded Neck Dark Blue, Yellow T-Shirt",MANIAC,265,"1,349",80% 
700,"Printed Men Hooded Neck Dark Blue, Red T-Shirt",TRIPR,364,"2,999",87% 
701,Color Block Men Round Neck Light Green T-Shirt,Diwazzo,233,999,76% 
702,Striped Men Round Neck Dark Blue T-Shirt,Alan Jones,256,"1,099",76% 
703,Striped Men Round Neck White T-Shirt,BLIVE,224,"1,999",88% 
704,Typography Men Round Neck Multicolor T-Shirt,Canis,234,599,60% 
705,"Color Block Men Round Neck Blue, Black, Grey T-Shirt",THE EG STORE,205,799,74% 
706,"Color Block Men Round Neck Black, Grey T-Shirt",TRIPR,207,899,76% 
707,Solid Men Round Neck Black T-Shirt,krishnafit,151,999,84% 
708,"Striped Men Round Neck Dark Blue, Pink T-Shirt",MANIAC,278,"1,919",85% 
709,Solid Men Round Neck Yellow T-Shirt,Damensch,699,899,22% 
710,Graphic Print Men Round or Crew White T-Shirt,Canis,157,399,60% 
711,"Printed Men Mandarin Collar Black, White T-Shirt",MANIAC,323,"1,659",80% 
712,"Color Block Men Polo Neck Black, Red T-Shirt",BLIVE,253,"1,999",87% 
713,Printed Men Round Neck Dark Blue T-Shirt,BLIVE,215,"1,999",89% 
714,"Broad Stripes Men Round or Crew Green, Blue T-Shirt",Alan Jones,159,999,84% 
715,Typography Men Round Neck Grey T-Shirt,BLIVE,143,"1,399",89% 
716,Typography Men Round Neck Grey T-Shirt,TRIPR,188,"1,999",90% 
717,Printed Men Round Neck Dark Blue T-Shirt,FastColors,255,"1,999",87% 
718,Printed Men V Neck Multicolor T-Shirt,TRIPR,215,"1,999",89% 
719,Printed Men Round Neck Black T-Shirt,TRIPR,151,"1,399",89% 
720,Solid Men Round Neck Maroon T-Shirt,krishnafit,151,999,84% 
721,Printed Men Polo Neck Black T-Shirt,FastColors,246,"1,799",86% 
722,Graphic Print Men Round Neck Multicolor T-Shirt,Canis,188,499,62% 
723,"Solid Men Round Neck White, Black T-Shirt",FastColors,255,"1,999",87% 
724,"Graphic Print Men Round or Crew White, Black T-Shirt",Canis,173,499,65% 
725,Solid Men Round Neck Light Green T-Shirt,London Hills,310,"1,299",76% 
726,Solid Men Polo Neck Multicolor T-Shirt,INKKR,"1,089","2,499",56% 
727,"Printed Men Round Neck Dark Blue, Black T-Shirt",MANIAC,449,"2,119",78% 
728,Color Block Men Hooded Neck Black T-Shirt,HELMONT,193,999,80% 
729,"Color Block Men Hooded Neck White, Yellow T-Shirt",HYDEY,176,999,82% 
730,"Color Block Men Hooded Neck Yellow, Black T-Shirt",HYDEY,201,999,79% 
731,"Printed Men Round Neck White, Red T-Shirt",FastColors,246,"1,999",87% 
732,"Checkered Men Round Neck Red, White T-Shirt",MANIAC,670,"1,999",66% 
733,Solid Men Polo Neck Multicolor T-Shirt,INKKR,"1,089","3,999",72% 
734,Printed Men Round Neck White T-Shirt,Canis,205,399,48% 
735,Printed Men Round Neck Dark Green T-Shirt,MANIAC,376,"1,799",79% 
736,Printed Men Round Neck Dark Blue T-Shirt,FastColors,246,"1,999",87% 
737,Printed Men Round Neck White T-Shirt,MANIAC,224,829,72% 
738,"Printed Men Round Neck White, Black T-Shirt",Canis,205,399,48% 
739,"Printed Men Hooded Neck Pink, Black T-Shirt",MANIAC,449,"2,399",81% 
740,"Solid Men Round Neck Dark Green, Maroon, Blue, Grey T-S...",London Hills,851,"5,196",83% 
741,Solid Men Hooded Grey T-Shirt,HELMONT,169,999,83% 
742,"Solid Men Round Neck Black, Red T-Shirt",BLIVE,243,"1,999",87% 
743,"Color Block Men Round Neck Maroon, White T-Shirt",MANIAC,449,"2,199",79% 
744,Color Block Men Hooded Neck Blue T-Shirt,HELMONT,158,999,84% 
745,Graphic Print Men Round Neck White T-Shirt,Sloth Cloth,234,810,71% 
746,Printed Men Round Neck Yellow T-Shirt,MANIAC,234,"1,599",85% 
747,Printed Men Round Neck Dark Blue T-Shirt,MANIAC,336,"1,719",80% 
748,"Printed Men Round Neck White, Black T-Shirt",Canis,205,499,58% 
749,Graphic Print Men Round Neck Multicolor T-Shirt,Canis,188,499,62% 
750,"Solid Men Polo Neck Blue, White T-Shirt",INKKR,386,"1,299",70% 
751,Striped Men Round Neck Light Blue T-Shirt,CONWAY,224,999,77% 
752,Color Block Men Round Neck Dark Green T-Shirt,Diwazzo,233,999,76% 
753,Graphic Print Men Round or Crew Grey T-Shirt,Young trendz,215,899,76% 
754,"Color Block Men Round Neck Black, Grey T-Shirt",MANIAC,449,"2,199",79% 
755,"Checkered Men Round Neck Dark Blue, Green T-Shirt",MANIAC,449,"2,199",79% 
756,"Printed Men Round Neck White, Black T-Shirt",Canis,205,499,58% 
757,"Solid Men Polo Neck Dark Blue, Orange T-Shirt",Alan Jones,804,"1,998",59% 
758,"Printed Men Round Neck Red, Black T-Shirt",BLIVE,234,"1,999",88% 
759,"Printed Men Round Neck Black, White T-Shirt",MANIAC,354,"1,799",80% 
